legacy_id,centre,d,cluster,id,name,latitude,longitude,type,type_norm
108123,0,165.1601112253,0,7620,Estação Tubo Winston Churchill,-25.520712670222995,-49.295568839131995,Estação tubo,Tube station
108124,0,164.602771679229,0,7621,Estação Tubo Winston Churchill,-25.520710249718004,-49.29545385416499,Estação tubo,Tube station
150270,0,355.949315184114,0,10571,"Rua Engenheiro João Bley Filho, 95 - Pinheirinho",-25.521545341482994,-49.29257307288199,Chapéu chinês,Street bus stop
150271,0,470.500485272505,0,10572,"Rua Hélio Dirceu Woitikiw, 122 - Pinheirinho",-25.522964011280994,-49.292860233135,Domus,Street bus stop
150272,0,88.588520184053,0,10573,"Rua André Ferreira Barbosa, 8391 - Pinheirinho",-25.519428276483005,-49.29444865889501,Novo mobiliário,Street bus stop
150330,1,0.0,0,10630,"Av. Winston Churchill, 2546 - Capão Raso",-25.519229941942015,-49.295454463263994,Domus,Street bus stop
150331,0,99.645372896221,0,10631,"Av. Winston Churchill, 2472 - Capão Raso",-25.51834886407902,-49.29566769887999,Domus,Street bus stop
150332,0,460.737928592895,0,10632,"Rua Léon Nicolas, 2081 - Capão Raso",-25.515159644727,-49.294443608469,Domus,Street bus stop
150334,0,315.543480776953,0,10633,"Rodovia BR476, 19401 - Pinheirinho",-25.521965671042004,-49.294471516533,Sem demarcação,Street bus stop
150751,0,167.117049960252,0,10969,"Av. Winston Churchill, 2677 - Capão Raso",-25.520731874323012,-49.29538338472502,Placa em poste,Street bus stop
150827,0,490.55309956107,0,11021,"Rua Jorge Coleraus Barbosa, 55 - Pinheirinho",-25.520739981731,-49.290051162243,Placa em poste,Street bus stop
150828,0,580.730541818967,0,11022,"Rua Luciano Piuzi, 635 - Pinheirinho",-25.518358181924,-49.288742244244,Sem demarcação,Street bus stop
150842,0,572.493395007267,0,11028,"Rua Luciano Piuzi, 650 - Pinheirinho",-25.518306140039,-49.288852214813,Domus,Street bus stop
150843,0,475.392220551224,0,11029,"Rua Jorge Coleraus Barbosa, 2 - Pinheirinho",-25.520560864284,-49.290158450603,Domus,Street bus stop
